Population of origin of smell donor,Sex of smell donor,Habitat of origin of smell donor,Population of origin of tongue flicker,Sex of tongue flicker,Habitat of origin of tongue flicker,Number of tongue flicks/10min
Lakonisi,Male,Island,Agios Fokas,Female,Mainland,98
Lakonisi,Male,Island,Agios Fokas,Female,Mainland,92
Lakonisi,Male,Island,Agios Fokas,Female,Mainland,60
Lakonisi,Male,Island,Agios Fokas,Female,Mainland,193
Lakonisi,Female,Island,Mesa Diavates,Male,Island,180
Lakonisi,Female,Island,Mesa Diavates,Male,Island,109
Lakonisi,Female,Island,Mesa Diavates,Male,Island,260
Lakonisi,Female,Island,Mesa Diavates,Male,Island,244
Lakonisi,Female,Island,Mesa Diavates,Male,Island,129
Lakonisi,Female,Island,Mesa Diavates,Male,Island,107
Lakonisi,Female,Island,Mesa Diavates,Male,Island,142
Lakonisi,Female,Island,Mesa Diavates,Male,Island,145
Lakonisi,Female,Island,Mesa Diavates,Male,Island,89
Lakonisi,Female,Island,Mesa Diavates,Male,Island,143
Lakonisi,Female,Island,Mesa Diavates,Male,Island,163
Lakonisi,Female,Island,Mesa Diavates,Male,Island,335
Lakonisi,Female,Island,Mesa Diavates,Male,Island,318
Lakonisi,Female,Island,Mesa Diavates,Male,Island,273
Lakonisi,Female,Island,Mesa Diavates,Male,Island,237
Lakonisi,Female,Island,Mesa Diavates,Male,Island,264
Lakonisi,Female,Island,Mesa Diavates,Male,Island,209
Lakonisi,Female,Island,Mesa Diavates,Male,Island,347
Lakonisi,Female,Island,Mesa Diavates,Male,Island,312
Lakonisi,Female,Island,Mesa Diavates,Male,Island,144
Lakonisi,Female,Island,Mesa Diavates,Male,Island,223
Lakonisi,Male,Island,Mesa Diavates,Female,Island,153
Lakonisi,Male,Island,Mesa Diavates,Female,Island,103
Lakonisi,Male,Island,Mesa Diavates,Female,Island,181
Lakonisi,Male,Island,Mesa Diavates,Female,Island,183
Lakonisi,Male,Island,Mesa Diavates,Female,Island,110
Lakonisi,Male,Island,Mesa Diavates,Female,Island,108
Lakonisi,Male,Island,Mesa Diavates,Female,Island,103
Lakonisi,Male,Island,Mesa Diavates,Female,Island,82
Lakonisi,Male,Island,Mesa Diavates,Female,Island,27
Lakonisi,Male,Island,Mesa Diavates,Female,Island,67
Lakonisi,Male,Island,Mesa Diavates,Female,Island,86
Lakonisi,Male,Island,Mesa Diavates,Female,Island,194
Lakonisi,Male,Island,Mesa Diavates,Female,Island,54
Lakonisi,Male,Island,Mesa Diavates,Female,Island,24
Lakonisi,Male,Island,Mesa Diavates,Female,Island,79
Lakonisi,Male,Island,Mesa Diavates,Female,Island,91
Lakonisi,Male,Island,Mesa Diavates,Female,Island,105
Lakonisi,Male,Island,Mesa Diavates,Female,Island,92
Lakonisi,Male,Island,Mesa Diavates,Female,Island,118
Lakonisi,Male,Island,Mesa Diavates,Female,Island,51
Lakonisi,Female,Island,Lakonisi,Male,Island,95
Lakonisi,Female,Island,Lakonisi,Male,Island,112
Lakonisi,Female,Island,Lakonisi,Male,Island,68
Lakonisi,Female,Island,Lakonisi,Male,Island,107
Lakonisi,Female,Island,Lakonisi,Male,Island,29
Lakonisi,Female,Island,Lakonisi,Male,Island,91
Lakonisi,Female,Island,Lakonisi,Male,Island,198
Lakonisi,Female,Island,Lakonisi,Male,Island,77
Lakonisi,Female,Island,Lakonisi,Male,Island,37
Lakonisi,Female,Island,Lakonisi,Male,Island,21
Lakonisi,Female,Island,Lakonisi,Male,Island,113
Lakonisi,Female,Island,Lakonisi,Male,Island,58
Lakonisi,Female,Island,Lakonisi,Male,Island,176
Lakonisi,Female,Island,Lakonisi,Male,Island,117
Lakonisi,Female,Island,Lakonisi,Male,Island,129
Lakonisi,Female,Island,Lakonisi,Male,Island,174
Lakonisi,Female,Island,Lakonisi,Male,Island,83
Lakonisi,Female,Island,Lakonisi,Male,Island,128
Lakonisi,Female,Island,Lakonisi,Male,Island,275
Lakonisi,Female,Island,Lakonisi,Male,Island,107
Lakonisi,Female,Island,Lakonisi,Male,Island,123
Lakonisi,Female,Island,Lakonisi,Male,Island,201
Lakonisi,Female,Island,Lakonisi,Male,Island,161
Lakonisi,Female,Island,Lakonisi,Male,Mainland,97
Lakonisi,Male,Island,Lakonisi,Female,Island,186
Lakonisi,Male,Island,Lakonisi,Female,Island,151
Lakonisi,Male,Island,Lakonisi,Female,Island,156
Lakonisi,Male,Island,Lakonisi,Female,Island,32
Lakonisi,Male,Island,Lakonisi,Female,Island,62
Lakonisi,Male,Island,Lakonisi,Female,Island,171
Lakonisi,Male,Island,Lakonisi,Female,Island,223
Lakonisi,Male,Island,Lakonisi,Female,Island,298
Lakonisi,Male,Island,Lakonisi,Female,Island,182
Lakonisi,Male,Island,Lakonisi,Female,Island,183
Lakonisi,Male,Island,Lakonisi,Female,Island,232
Lakonisi,Male,Island,Lakonisi,Female,Island,34
Lakonisi,Male,Island,Lakonisi,Female,Island,150
Lakonisi,Male,Island,Lakonisi,Female,Island,129
Lakonisi,Male,Island,Lakonisi,Female,Island,213
Lakonisi,Female,Island,Nyfi,Male,Mainland,184
Lakonisi,Female,Island,Nyfi,Male,Mainland,152
Lakonisi,Female,Island,Nyfi,Male,Mainland,92
Lakonisi,Female,Island,Nyfi,Male,Mainland,103
Lakonisi,Female,Island,Nyfi,Male,Mainland,89
Lakonisi,Female,Island,Nyfi,Male,Mainland,99
Lakonisi,Female,Island,Nyfi,Male,Mainland,74
Lakonisi,Female,Island,Nyfi,Male,Mainland,97
Lakonisi,Female,Island,Nyfi,Male,Mainland,138
Lakonisi,Female,Island,Nyfi,Male,Mainland,216
Lakonisi,Female,Island,Nyfi,Male,Mainland,91
Lakonisi,Female,Island,Nyfi,Male,Mainland,66
Lakonisi,Female,Island,Nyfi,Male,Mainland,177
Lakonisi,Female,Island,Nyfi,Male,Mainland,195
Lakonisi,Female,Island,Nyfi,Male,Mainland,71
Lakonisi,Female,Island,Nyfi,Male,Mainland,182
Lakonisi,Female,Island,Nyfi,Male,Mainland,161
Lakonisi,Female,Island,Nyfi,Male,Mainland,203
Lakonisi,Female,Island,Nyfi,Male,Mainland,134
Lakonisi,Female,Island,Nyfi,Male,Mainland,169
Lakonisi,Female,Island,Nyfi,Male,Mainland,168
Lakonisi,Female,Island,Nyfi,Male,Mainland,162
Lakonisi,Female,Island,Nyfi,Male,Mainland,194
Lakonisi,Female,Island,Nyfi,Male,Mainland,184
Lakonisi,Male,Island,Nyfi,Female,Mainland,45
Lakonisi,Male,Island,Nyfi,Female,Mainland,102
Lakonisi,Male,Island,Nyfi,Female,Mainland,58
Lakonisi,Male,Island,Nyfi,Female,Mainland,162
Lakonisi,Male,Island,Nyfi,Female,Mainland,62
Lakonisi,Male,Island,Nyfi,Female,Mainland,71
Lakonisi,Male,Island,Nyfi,Female,Mainland,63
Lakonisi,Male,Island,Nyfi,Female,Mainland,97
Lakonisi,Male,Island,Nyfi,Female,Mainland,54
Lakonisi,Male,Island,Nyfi,Female,Mainland,76
Lakonisi,Male,Island,Nyfi,Female,Mainland,65
Lakonisi,Male,Island,Nyfi,Female,Mainland,57
Lakonisi,Male,Island,Nyfi,Female,Mainland,107
Lakonisi,Male,Island,Nyfi,Female,Mainland,93
Lakonisi,Male,Island,Nyfi,Female,Mainland,41
Lakonisi,Male,Island,Nyfi,Female,Mainland,53
Lakonisi,Male,Island,Nyfi,Female,Mainland,72
Lakonisi,Male,Island,Nyfi,Female,Mainland,66
Lakonisi,Male,Island,Nyfi,Female,Mainland,56
Lakonisi,Male,Island,Nyfi,Female,Mainland,122
Lakonisi,Male,Island,Nyfi,Female,Mainland,74
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,89
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,148
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,153
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,114
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,60
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,97
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,70
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,31
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,52
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,98
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,115
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,97
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,0
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,47
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,80
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,119
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,100
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,160
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,121
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,109
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,102
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,135
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,53
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,96
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,57
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,41
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,34
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,82
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,61
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,91
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,172
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,58
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,161
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,206
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,236
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,236
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,221
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,461
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,185
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,205
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,277
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,154
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,223
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,183
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,135
Nyfi,Female,Mainland,Agios Fokas,Male,Mainland,148
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,63
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,48
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,86
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,67
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,97
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,80
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,57
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,54
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,60
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,76
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,49
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,65
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,74
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,51
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,92
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,120
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,67
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,25
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,90
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,69
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,51
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,67
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,44
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,107
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,55
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,10
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,62
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,125
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,86
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,113
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,92
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,49
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,15
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,21
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,65
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,26
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,125
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,78
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,98
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,98
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,78
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,70
Nyfi,Male,Mainland,Agios Fokas,Female,Mainland,70
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,72
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,11
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,111
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,85
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,15
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,183
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,84
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,107
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,3
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,13
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,45
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,41
Nyfi,Female,Mainland,Mesa Diavates,Male,Island,68
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,32
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,66
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,45
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,76
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,89
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,73
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,62
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,30
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,100
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,31
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,66
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,51
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,54
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,105
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,108
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,120
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,169
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,68
Nyfi,Male,Mainland,Mesa Diavates,Female,Island,68
Nyfi,Female,Mainland,Lakonisi,Male,Island,76
Nyfi,Female,Mainland,Lakonisi,Male,Island,74
Nyfi,Female,Mainland,Lakonisi,Male,Island,91
Nyfi,Female,Mainland,Lakonisi,Male,Island,107
Nyfi,Female,Mainland,Lakonisi,Male,Island,45
Nyfi,Female,Mainland,Lakonisi,Male,Island,64
Nyfi,Female,Mainland,Lakonisi,Male,Island,121
Nyfi,Female,Mainland,Lakonisi,Male,Island,47
Nyfi,Female,Mainland,Lakonisi,Male,Island,74
Nyfi,Female,Mainland,Lakonisi,Male,Island,57
Nyfi,Female,Mainland,Lakonisi,Male,Island,92
Nyfi,Female,Mainland,Lakonisi,Male,Island,164
Nyfi,Female,Mainland,Lakonisi,Male,Island,196
Nyfi,Female,Mainland,Lakonisi,Male,Island,201
Nyfi,Female,Mainland,Lakonisi,Male,Island,92
Nyfi,Female,Mainland,Lakonisi,Male,Island,159
Nyfi,Female,Mainland,Lakonisi,Male,Island,158
Nyfi,Female,Mainland,Lakonisi,Male,Island,241
Nyfi,Female,Mainland,Lakonisi,Male,Island,63
Nyfi,Female,Mainland,Lakonisi,Male,Island,157
Nyfi,Male,Mainland,Lakonisi,Female,Island,40
Nyfi,Male,Mainland,Lakonisi,Female,Island,59
Nyfi,Male,Mainland,Lakonisi,Female,Island,73
Nyfi,Male,Mainland,Lakonisi,Female,Island,69
Nyfi,Male,Mainland,Lakonisi,Female,Island,38
Nyfi,Male,Mainland,Lakonisi,Female,Island,73
Nyfi,Male,Mainland,Lakonisi,Female,Island,42
Nyfi,Male,Mainland,Lakonisi,Female,Island,39
Nyfi,Male,Mainland,Lakonisi,Female,Island,58
Nyfi,Male,Mainland,Lakonisi,Female,Island,74
Nyfi,Male,Mainland,Lakonisi,Female,Island,55
Nyfi,Male,Mainland,Lakonisi,Female,Island,116
Nyfi,Male,Mainland,Lakonisi,Female,Island,97
Nyfi,Male,Mainland,Lakonisi,Female,Island,88
Nyfi,Male,Mainland,Lakonisi,Female,Island,163
Nyfi,Male,Mainland,Lakonisi,Female,Island,93
Nyfi,Male,Mainland,Lakonisi,Female,Island,127
Nyfi,Male,Mainland,Lakonisi,Female,Island,81
Nyfi,Male,Mainland,Lakonisi,Female,Island,136
Nyfi,Male,Mainland,Lakonisi,Female,Island,91
Nyfi,Male,Mainland,Lakonisi,Female,Island,78
Nyfi,Male,Mainland,Lakonisi,Female,Island,102
Nyfi,Male,Mainland,Lakonisi,Female,Island,143
Nyfi,Male,Mainland,Lakonisi,Female,Island,175
Nyfi,Female,Mainland,Nyfi,Male,Mainland,97
Nyfi,Female,Mainland,Nyfi,Male,Mainland,204
Nyfi,Female,Mainland,Nyfi,Male,Mainland,105
Nyfi,Female,Mainland,Nyfi,Male,Mainland,44
Nyfi,Female,Mainland,Nyfi,Male,Mainland,93
Nyfi,Female,Mainland,Nyfi,Male,Mainland,89
Nyfi,Female,Mainland,Nyfi,Male,Mainland,158
Nyfi,Female,Mainland,Nyfi,Male,Mainland,157
Nyfi,Female,Mainland,Nyfi,Male,Mainland,89
Nyfi,Female,Mainland,Nyfi,Male,Mainland,107
Nyfi,Female,Mainland,Nyfi,Male,Mainland,92
Nyfi,Female,Mainland,Nyfi,Male,Mainland,104
Nyfi,Female,Mainland,Nyfi,Male,Mainland,153
Nyfi,Female,Mainland,Nyfi,Male,Mainland,98
Nyfi,Female,Mainland,Nyfi,Male,Mainland,83
Nyfi,Female,Mainland,Nyfi,Male,Mainland,60
Nyfi,Female,Mainland,Nyfi,Male,Mainland,0
Nyfi,Female,Mainland,Nyfi,Male,Mainland,130
Nyfi,Female,Mainland,Nyfi,Male,Mainland,30
Nyfi,Female,Mainland,Nyfi,Male,Mainland,30
Nyfi,Female,Mainland,Nyfi,Male,Mainland,107
Nyfi,Female,Mainland,Nyfi,Male,Mainland,110
Nyfi,Female,Mainland,Nyfi,Male,Mainland,74
Nyfi,Female,Mainland,Nyfi,Male,Mainland,120
Nyfi,Female,Mainland,Nyfi,Male,Mainland,51
Nyfi,Female,Mainland,Nyfi,Male,Mainland,154
Nyfi,Female,Mainland,Nyfi,Male,Mainland,110
Nyfi,Female,Mainland,Nyfi,Male,Mainland,114
Nyfi,Female,Mainland,Nyfi,Male,Mainland,145
Nyfi,Female,Mainland,Nyfi,Male,Mainland,273
Nyfi,Female,Mainland,Nyfi,Male,Mainland,129
Nyfi,Female,Mainland,Nyfi,Male,Mainland,153
Nyfi,Female,Mainland,Nyfi,Male,Mainland,210
Nyfi,Female,Mainland,Nyfi,Male,Mainland,178
Nyfi,Female,Mainland,Nyfi,Male,Mainland,239
Nyfi,Female,Mainland,Nyfi,Male,Mainland,141
Nyfi,Female,Mainland,Nyfi,Male,Mainland,140
Nyfi,Female,Mainland,Nyfi,Male,Mainland,369
Nyfi,Female,Mainland,Nyfi,Male,Mainland,112
Nyfi,Female,Mainland,Nyfi,Male,Mainland,224
Nyfi,Female,Mainland,Nyfi,Male,Mainland,176
Nyfi,Female,Mainland,Nyfi,Male,Mainland,191
Nyfi,Female,Mainland,Nyfi,Male,Mainland,159
Nyfi,Female,Mainland,Nyfi,Male,Mainland,221
Nyfi,Female,Mainland,Nyfi,Male,Mainland,137
Nyfi,Female,Mainland,Nyfi,Male,Mainland,157
Nyfi,Female,Mainland,Nyfi,Male,Mainland,126
Nyfi,Female,Mainland,Nyfi,Male,Mainland,172
Nyfi,Female,Mainland,Nyfi,Male,Mainland,138
Nyfi,Female,Mainland,Nyfi,Male,Mainland,74
Nyfi,Female,Mainland,Nyfi,Male,Mainland,112
Nyfi,Female,Mainland,Nyfi,Male,Mainland,112
Nyfi,Male,Mainland,Nyfi,Female,Mainland,65
Nyfi,Male,Mainland,Nyfi,Female,Mainland,45
Nyfi,Male,Mainland,Nyfi,Female,Mainland,57
Nyfi,Male,Mainland,Nyfi,Female,Mainland,55
Nyfi,Male,Mainland,Nyfi,Female,Mainland,126
Nyfi,Male,Mainland,Nyfi,Female,Mainland,136
Nyfi,Male,Mainland,Nyfi,Female,Mainland,52
Nyfi,Male,Mainland,Nyfi,Female,Mainland,63
Nyfi,Male,Mainland,Nyfi,Female,Mainland,138
Nyfi,Male,Mainland,Nyfi,Female,Mainland,85
Nyfi,Male,Mainland,Nyfi,Female,Mainland,65
Nyfi,Male,Mainland,Nyfi,Female,Mainland,62
Nyfi,Male,Mainland,Nyfi,Female,Mainland,78
Nyfi,Male,Mainland,Nyfi,Female,Mainland,66
Nyfi,Male,Mainland,Nyfi,Female,Mainland,58
Nyfi,Male,Mainland,Nyfi,Female,Mainland,93
Nyfi,Male,Mainland,Nyfi,Female,Mainland,111
Nyfi,Male,Mainland,Nyfi,Female,Mainland,210
Nyfi,Male,Mainland,Nyfi,Female,Mainland,91
Nyfi,Male,Mainland,Nyfi,Female,Mainland,49
Nyfi,Male,Mainland,Nyfi,Female,Mainland,87
Nyfi,Male,Mainland,Nyfi,Female,Mainland,47
Nyfi,Male,Mainland,Nyfi,Female,Mainland,122
Nyfi,Male,Mainland,Nyfi,Female,Mainland,120
Nyfi,Male,Mainland,Nyfi,Female,Mainland,138
Nyfi,Male,Mainland,Nyfi,Female,Mainland,182
Nyfi,Male,Mainland,Nyfi,Female,Mainland,128
Nyfi,Male,Mainland,Nyfi,Female,Mainland,148
Nyfi,Male,Mainland,Nyfi,Female,Mainland,127
Nyfi,Male,Mainland,Nyfi,Female,Mainland,245
Nyfi,Male,Mainland,Nyfi,Female,Mainland,171
Nyfi,Male,Mainland,Nyfi,Female,Mainland,71
Nyfi,Male,Mainland,Nyfi,Female,Mainland,85
Nyfi,Male,Mainland,Nyfi,Female,Mainland,29
Nyfi,Male,Mainland,Nyfi,Female,Mainland,60
Nyfi,Male,Mainland,Nyfi,Female,Mainland,68
Nyfi,Male,Mainland,Nyfi,Female,Mainland,96
Nyfi,Male,Mainland,Nyfi,Female,Mainland,179
Nyfi,Male,Mainland,Nyfi,Female,Mainland,196
Nyfi,Male,Mainland,Nyfi,Female,Mainland,106
Nyfi,Male,Mainland,Nyfi,Female,Mainland,127
Nyfi,Male,Mainland,Nyfi,Female,Mainland,63
Nyfi,Male,Mainland,Nyfi,Female,Mainland,58
P taurica,Female,Control species,Agios Fokas,Male,Mainland,39
P taurica,Female,Control species,Agios Fokas,Male,Mainland,60
P taurica,Male,Control species,Agios Fokas,Female,Mainland,56
P taurica,Male,Control species,Agios Fokas,Female,Mainland,40
P taurica,Female,Control species,Nyfi,Male,Mainland,42
P taurica,Female,Control species,Nyfi,Male,Mainland,72
P taurica,Male,Control species,Nyfi,Female,Mainland,65
P taurica,Male,Control species,Nyfi,Female,Mainland,38
